Pool No.,No,ID,Title,Author,VIS Presenting Year,Year,Keywords,Abstract,DOI,Location,application-focused,user-involved,evaluation-included,evaluation,case study related,design study,Assignment,Manual filtering,"Final Check: Keep-1,Drop-0",A1-Domain (Primary),A1-Domain (Secondary),A1-Domain (Manual labelling),A2-Data-Driven,C-Evaluation mentioned in Contribution,D-Separate section to describe evaluation practices ,D1-Study Protocol included,E-Domain requirements & tasks mentioned,E1- Domain experts involvement in shaping the requirements & tasks,F-Application implementation described,G-Domain integration,AI-related: VIS application for AI,AI-related: AI enhancing VIS tools,AR/VR/XR-related,N.O.Sessions,Total No. of participant,Participant type (a),Number (a),Participant type (b),Number (b),UWP : Understand environments and work prctices,VDAR: Visual data analysis and reasoning,CTV: Evaluate communication through visualization,CDA: Evaluate collaborative data analysis,UP: User performance,UE: User experience,AP: Algorithm performance,QRI: Qualitative result inspection,*ESG: Evaluate Scalibility and Generalizability,*EUV: Extened User Validation,Observation,Workshop,Focus group,Think-aloud protocol,Interview,Survey & Questionnaire,Task-based evaluation (Ql),User Interaction with the tool,Content analysis,Expert/user feedback,Case study,Controlled experiments,A/B testing,Performance evaluation,Task-based evaluation (Qn),User behavior analysis,At which stage,Iterative refinement,Others,Comments
871,317,2018J013,Enhancing Web-based Analytics Applications through Provenance,"Camisetty, Akhilesh and Chandurkar, Chaitanya and Sun, Maoyuan and Koop, David",2018,2019,Collaboration;History;Tools;Browsers;Libraries;Servers;Visualization;Collaboration;provenance;streaming data;history;web,"Visual analytics systems continue to integrate new technologies and leverage modern environments for exploration and collaboration, making tools and techniques available to a wide audience through web browsers. Many of these systems have been developed with rich interactions, offering users the opportunity to examine details and explore hypotheses that have not been directly encoded by a designer. Understanding is enhanced when users can replay and revisit the steps in the sensemaking process, and in collaborative settings, it is especially important to be able to review not only the current state but also what decisions were made along the way. Unfortunately, many web-based systems lack the ability to capture such reasoning, and the path to a result is transient, forgotten when a user moves to a new view. This paper explores the requirements to augment existing client-side web applications with support for capturing, reviewing, sharing, and reusing steps in the reasoning process. Furthermore, it considers situations where decisions are made with streaming data, and the insights gained from revisiting those choices when more data is available. It presents a proof of concept, the Shareable Interactive Manipulation Provenance framework (SIMProv.js), that addresses these requirements in a modern, client-side JavaScript library, and describes how it can be integrated with existing frameworks.",10.1109/TVCG.2018.2865039,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,2018J014,Doccurate: A Curation-Based Approach for Clinical Text Visualization,"Sultanum, Nicole and Singh, Devin and Brudno, Michael and Chevalier, Fanny",2018,2019,Medical services;Visualization;Automation;Data visualization;Tools;Task analysis;Medical diagnostic imaging;Visual Curation;Clinical Text;Text Visualization;Medical Narrative,"Before seeing a patient, physicians seek to obtain an overview of the patient's medical history. Text plays a major role in this activity since it represents the bulk of the clinical documentation, but reviewing it quickly becomes onerous when patient charts grow too large. Text visualization methods have been widely explored to manage this large scale through visual summaries that rely on information retrieval algorithms to structure text and make it amenable to visualization. However, the integration with such automated approaches comes with a number of limitations, including significant error rates and the need for healthcare providers to fine-tune algorithms without expert knowledge of their inner mechanics. In addition, several of these approaches obscure or substitute the original clinical text and therefore fail to leverage qualitative and rhetorical flavours of the clinical notes. These drawbacks have limited the adoption of text visualization and other summarization technologies in clinical practice. In this work we present Doccurate, a novel system embodying a curation-based approach for the visualization of large clinical text datasets. Our approach offers automation auditing and customizability to physicians while also preserving and extensively linking to the original text. We discuss findings of a formal qualitative evaluation conducted with 6 domain experts, shedding light onto physicians' information needs, perceived strengths and limitations of automated tools, and the importance of customization while balancing efficiency. We also present use case scenarios to showcase Doccurate's envisioned usage in practice.",10.1109/TVCG.2018.2864905,,TRUE,TRUE,TRUE,T,T,F,C1,KEEP,1,10. Healthcare and medical imaging,,"healthcare, medical NLP",0,1,1,1,1,1,1,1,0,0,0,1,6,1. domain expert,1,2. domain user,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3. Before the deployment (During the development and refinement phrase ONLY),0,,
874,318,2018J015,VIS Author Profiles: Interactive Descriptions of Publication Records Combining Text and Visualization,"Latif, Shahid and Beck, Fabian",2018,2019,Data visualization;Collaboration;Libraries;Computer science;Natural languages;Visual analytics;Natural language generation;document visualization;interactive documents;sparklines;digital libraries,"Publication records and collaboration networks are important for assessing the expertise and experience of researchers. Existing digital libraries show the raw publication lists in author profiles, whereas visualization techniques focus on specific subproblems. Instead, we look at publication records from various perspectives mixing low-level publication data with high-level abstractions and background information. This work presents VIS Author Profiles, a novel approach to generate integrated textual and visual descriptions to highlight patterns in publication records. We leverage template-based natural language generation to summarize notable publication statistics, evolution of research topics, and collaboration relationships. Seamlessly integrated visualizations augment the textual description and are interactively connected with each other and the text. The underlying publication data and detailed explanations of the analysis are available on demand. We compare our approach to existing systems by taking into account information needs of users and demonstrate its usefulness in two realistic application examples.",10.1109/TVCG.2018.2865022,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,2018J016,BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence,"Yue, Xuanwu and Shu, Xinhuan and Zhu, Xinyu and Du, Xinnan and Yu, Zheqing and Papadopoulos, Dimitrios and Liu, Siyuan",2018,2019,Bitcoin;Data visualization;Visualization;Task analysis;Tools;Bitcoin exchange;transaction data;comparative analysis;visual analytics;FinTech,"The emerging prosperity of cryptocurrencies, such as Bitcoin, has come into the spotlight during the past few years. Cryptocurrency exchanges, which act as the gateway to this world, now play a dominant role in the circulation of Bitcoin. Thus, delving into the analysis of the transaction patterns of exchanges can shed light on the evolution and trends in the Bitcoin market, and participants can gain hints for identifying credible exchanges as well. Not only Bitcoin practitioners but also researchers in the financial domains are interested in the business intelligence behind the curtain. However, the task of multiple exchanges exploration and comparisons has been limited owing to the lack of efficient tools. Previous methods of visualizing Bitcoin data have mainly concentrated on tracking suspicious transaction logs, but it is cumbersome to analyze exchanges and their relationships with existing tools and methods. In this paper, we present BitExTract, an interactive visual analytics system, which, to the best of our knowledge, is the first attempt to explore the evolutionary transaction patterns of Bitcoin exchanges from two perspectives, namely, exchange versus exchange and exchange versus client. In particular, BitExTract summarizes the evolution of the Bitcoin market by observing the transactions between exchanges over time via a massive sequence view. A node-link diagram with ego-centered views depicts the trading network of exchanges and their temporal transaction distribution. Moreover, BitExTract embeds multiple parallel bars on a timeline to examine and compare the evolution patterns of transactions between different exchanges. Three case studies with novel insights demonstrate the effectiveness and usability of our system.",10.1109/TVCG.2018.2864814,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,3. Business and finance,,,0,1,1,0,1,1,1,1,0,0,0,1,5,1. domain expert,5,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4. After the deployment,0,,
18,6,2018J018,Vulnus: Visual Vulnerability Analysis for Network Security,"Angelini, Marco and Blasilli, Graziano and Catarci, Tiziana and Lenti, Simone and Santucci, Giuseppe",2018,2019,Security;Bars;Measurement;Visual analytics;Organizations;Visual Analytics;Network security;Vulnerability analysis;CVE;CVSS;Attack Graph;Vulnerability triage and management,"Vulnerabilities represent one of the main weaknesses of IT systems and the availability of consolidated official data, like CVE (Common Vulnerabilities and Exposures), allows for using them to compute the paths an attacker is likely to follow. However, even if patches are available, business constraints or lack of resources create obstacles to their straightforward application. As a consequence, the security manager of a network needs to deal with a large number of vulnerabilities, making decisions on how to cope with them. This paper presents VULNUS (VULNerabilities visUal aSsessment), a visual analytics solution for dynamically inspecting the vulnerabilities spread on networks, allowing for a quick understanding of the network status and visually classifying nodes according to their vulnerabilities. Moreover, VULNUS computes the approximated optimal sequence of patches able to eliminate all the attack paths and allows for exploring sub-optimal patching strategies, simulating the effect of removing one or more vulnerabilities. VULNUS has been evaluated by domain experts using a lab-test experiment, investigating the effectiveness and efficiency of the proposed solution.",10.1109/TVCG.2018.2865028,,TRUE,TRUE,TRUE,T,,F,C1,KEEP,1,4. Computer networks and security,,,0,1,1,1,1,1,1,1,0,0,0,1,20,1. domain expert,20,,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,4. After the deployment,0,,
26,7,2018J020,Situ: Identifying and Explaining Suspicious Behavior in Networks,"Goodall, John R. and Ragan, Eric D. and Steed, Chad A. and Reed, Joel W. and Richardson, G. David and Huffer, Kelly M.T. and Bridges, Robert A. and Laska, Jason A.",2018,2019,Data visualization;Network security;Machine learning;Anomaly detection;Visual analytics;Network security;situational awareness;privacy and security;streaming data;machine learning;visualization,"Despite the best efforts of cyber security analysts, networked computing assets are routinely compromised, resulting in the loss of intellectual property, the disclosure of state secrets, and major financial damages. Anomaly detection methods are beneficial for detecting new types of attacks and abnormal network activity, but such algorithms can be difficult to understand and trust. Network operators and cyber analysts need fast and scalable tools to help identify suspicious behavior that bypasses automated security systems, but operators do not want another automated tool with algorithms they do not trust. Experts need tools to augment their own domain expertise and to provide a contextual understanding of suspicious behavior to help them make decisions. In this paper we present Situ, a visual analytics system for discovering suspicious behavior in streaming network data. Situ provides a scalable solution that combines anomaly detection with information visualization. The system's visualizations enable operators to identify and investigate the most anomalous events and IP addresses, and the tool provides context to help operators understand why they are anomalous. Finally, operators need tools that can be integrated into their workflow and with their existing tools. This paper describes the Situ platform and its deployment in an operational network setting. We discuss how operators are currently using the tool in a large organization's security operations center and present the results of expert reviews with professionals.",10.1109/TVCG.2018.2865029,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,4. Computer networks and security,,,0,1,1,0,1,1,1,1,0,0,0,2,5,1. domain expert,5,,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4. After the deployment,0,,
,,2018J020,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5. no participant,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4. After the deployment,0,,
27,8,2018J021,A Visual Analytics Framework for the Detection of Anomalous Call Stack Trees in High Performance Computing Applications,"Xie, Cong and Xu, Wei and Mueller, Klaus",2018,2019,Vegetation;Anomaly detection;Labeling;Runtime;Forestry;Visualization;Kernel;Call Stack;Performance Visualization;Representation Learning;Active Learning;Anomaly Detection,"Anomalous runtime behavior detection is one of the most important tasks for performance diagnosis in High Performance Computing (HPC). Most of the existing methods find anomalous executions based on the properties of individual functions, such as execution time. However, it is insufficient to identify abnormal behavior without taking into account the context of the executions, such as the invocations of children functions and the communications with other HPC nodes. We improve upon the existing anomaly detection approaches by utilizing the call stack structures of the executions, which record rich temporal and contextual information. With our call stack tree (CSTree) representation of the executions, we formulate the anomaly detection problem as finding anomalous tree structures in a call stack forest. The CSTrees are converted to vector representations using our proposed stack2vec embedding. Structural and temporal visualizations of CSTrees are provided to support users in the identification and verification of the anomalies during an active anomaly detection process. Three case studies of real-world HPC applications demonstrate the capabilities of our approach.",10.1109/TVCG.2018.2865026,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,,,HPC,1,1,1,0,1,1,1,1,0,1,0,2,3,2. domain user,3,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4. After the deployment,0,,
,,2018J021,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5. no participant,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4. After the deployment,0,,
30,9,2018J024,RegressionExplorer: Interactive Exploration of Logistic Regression Models with Subgroup Analysis,"Dingen, Dennis and van't Veer, Marcel and Houthuizen, Patrick and Mestrom, Eveline H. J. and Korsten, Erik H.H.M. and Bouwman, Arthur R.A. and van Wijk, Jarke",2018,2019,Analytical models;Logistics;Visual analytics;Biological system modeling;Mathematical model;Data models;Visual analytics;Predictive visual analytics;Exploratory data analysis;Multivariate statistics;Regression analysis;Variable selection;Subgroup analysis,"We present RegressionExplorer, a Visual Analytics tool for the interactive exploration of logistic regression models. Our application domain is Clinical Biostatistics, where models are derived from patient data with the aim to obtain clinically meaningful insights and consequences. Development and interpretation of a proper model requires domain expertise and insight into model characteristics. Because of time constraints, often a limited number of candidate models is evaluated. RegressionExplorer enables experts to quickly generate, evaluate, and compare many different models, taking the workflow for model development as starting point. Global patterns in parameter values of candidate models can be explored effectively. In addition, experts are enabled to compare candidate models across multiple subpopulations. The insights obtained can be used to formulate new hypotheses or to steer model development. The effectiveness of the tool is demonstrated for two uses cases: prediction of a cardiac conduction disorder in patients after receiving a heart valve implant and prediction of hypernatremia in critically ill patients.",10.1109/TVCG.2018.2865043,,TRUE,TRUE,TRUE,T,,F,C1,KEEP,1,10. Healthcare and medical imaging,,clinical biostatistics,0,1,1,0,1,1,1,1,0,0,0,1,3,2. domain user,3,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4. After the deployment,0,,
880,319,2018J025,Drag and Track: A Direct Manipulation Interface for Contextualizing Data Instances within a Continuous Parameter Space,"Orban, Daniel and Keefe, Daniel F. and Biswas, Ayan and Ahrens, James and Rogers, David",2018,2019,Data visualization;Visualization;Electric shock;Physics;Navigation;Data models;Uncertainty;Visual Parameter Space Analysis;Ensemble Visualization;Semantic Interaction;Direct Manipulation;Shock Physics,"We present a direct manipulation technique that allows material scientists to interactively highlight relevant parameterized simulation instances located in dimensionally reduced spaces, enabling a user-defined understanding of a continuous parameter space. Our goals are two-fold: first, to build a user-directed intuition of dimensionally reduced data, and second, to provide a mechanism for creatively exploring parameter relationships in parameterized simulation sets, called ensembles. We start by visualizing ensemble data instances in dimensionally reduced scatter plots. To understand these abstract views, we employ user-defined virtual data instances that, through direct manipulation, search an ensemble for similar instances. Users can create multiple of these direct manipulation queries to visually annotate the spaces with sets of highlighted ensemble data instances. User-defined goals are therefore translated into custom illustrations that are projected onto the dimensionally reduced spaces. Combined forward and inverse searches of the parameter space follow naturally allowing for continuous parameter space prediction and visual query comparison in the context of an ensemble. The potential for this visualization technique is confirmed via expert user feedback for a shock physics application and synthetic model analysis.",10.1109/TVCG.2018.2865051,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,2018J026,Clustrophile 2: Guided Visual Clustering Analysis,"Cavallo, Marco and Demiralp, Ã‡aÄŸatay",2018,2019,Tools;Data visualization;Visualization;Clustering algorithms;Data analysis;Space exploration;Dimensionality reduction;Clustering tour;Guided data analysis;Exploratory data analysis;Interactive clustering analysis;Interpretability;Explainability;Visual data exploration recommendation;Dimensionality reduction;What-if analysis;Clustrophile;Unsupervised learning,"Data clustering is a common unsupervised learning method frequently used in exploratory data analysis. However, identifying relevant structures in unlabeled, high-dimensional data is nontrivial, requiring iterative experimentation with clustering parameters as well as data features and instances. The number of possible clusterings for a typical dataset is vast, and navigating in this vast space is also challenging. The absence of ground-truth labels makes it impossible to define an optimal solution, thus requiring user judgment to establish what can be considered a satisfiable clustering result. Data scientists need adequate interactive tools to effectively explore and navigate the large clustering space so as to improve the effectiveness of exploratory clustering analysis. We introduce Clustrophile 2, a new interactive tool for guided clustering analysis. Clustrophile 2 guides users in clustering-based exploratory analysis, adapts user feedback to improve user guidance, facilitates the interpretation of clusters, and helps quickly reason about differences between clusterings. To this end, Clustrophile 2 contributes a novel feature, the Clustering Tour, to help users choose clustering parameters and assess the quality of different clustering results in relation to current analysis goals and user expectations. We evaluate Clustrophile 2 through a user study with 12 data scientists, who used our tool to explore and interpret sub-cohorts in a dataset of Parkinson's disease patients. Results suggest that Clustrophile 2 improves the speed and effectiveness of exploratory clustering analysis for both experts and non-experts.",10.1109/TVCG.2018.2864477,,TRUE,TRUE,TRUE,T,T,F,C1,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,,1,1,1,1,1,1,1,1,0,0,0,1,12,1. domain expert,6,2. domain user,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,4. After the deployment,0,,
